country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Philippines,0,0,0,0,3990,19900,39900,100000,824000,1090000,1550000,2010000,3520000,4030000,4440000,4660000,5050000,5340000,5650000,8320000,23500000,27700000,35200000,47600000,49900000,36800000,57500000,63200000,64000000,46500000
Poland,0,1990,19900,49800,149000,249000,499000,799000,1580000,2100000,2810000,3810000,8140000,9560000,12500000,14900000,17100000,18600000,20400000,22600000,23900000,23700000,23800000,24000000,25400000,25900000,27800000,28800000,29400000,32000000
Portugal,0,9940,24900,45000,72200,151000,302000,504000,1010000,1510000,1690000,1870000,2010000,3090000,3330000,3680000,4010000,4450000,4680000,5120000,5650000,5840000,6350000,6500000,6730000,7120000,7270000,7590000,7660000,7710000
Qatar,0,0,0,0,0,977,4860,16500,19400,23200,28800,37900,65500,131000,156000,214000,296000,451000,636000,879000,1280000,1400000,1520000,1990000,2250000,2380000,2520000,2650000,2770000,2820000
Romania,0,0,0,861,6080,17200,50500,101000,503000,602000,800000,998000,1440000,1930000,3240000,4600000,5240000,5950000,6750000,7550000,8170000,8140000,9280000,10000000,10800000,11100000,11800000,12500000,13800000,14300000
Russia,0,0,997,20000,79800,220000,399000,699000,1200000,1500000,2890000,4290000,5990000,12000000,18500000,21900000,25800000,35300000,38400000,41600000,61700000,70400000,91900000,98100000,102000000,102000000,106000000,111000000,118000000,121000000
Rwanda,0,0,0,0,0,0,53,104,819,5040,4990,19800,24700,30500,37400,49200,50300,196000,429000,753000,803000,721000,846000,973000,1170000,2050000,2330000,2610000,2680000,2750000
Samoa,0,0,0,0,0,0,,300,398,495,988,2960,3960,4970,5490,6030,8080,8650,9220,11100,13000,20600,24400,29200,40800,49200,57200,65700,65900,66200
San Marino,0,0,0,0,0,353,375,377,378,11600,13400,14000,14300,14300,14600,14700,14900,15100,16600,16700,16900,15700,15900,16100,16300,16500,16600,20300,20300,20400
Sao Tome and Principe,0,0,0,0,0,0,,,408,508,6600,9140,11200,15300,20500,21700,22900,24300,26500,28900,33800,37200,40600,44200,47800,51500,56900,62000,63200,64400
Saudi Arabia,0,0,0,0,0,2040,5090,10100,20100,99700,457000,993000,1390000,1800000,2370000,3030000,4770000,7560000,9320000,10100000,11200000,13400000,15700000,18200000,20000000,22100000,24300000,27200000,31400000,32800000
Senegal,0,0,0,0,0,60,1000,2500,7470,29800,39600,98700,104000,222000,474000,531000,639000,805000,855000,925000,1010000,1280000,1450000,1810000,2510000,3940000,3850000,7090000,7290000,7500000
Serbia,,,,,,,,,,,,,,,2170000,2420000,2490000,3020000,3230000,3440000,3680000,3780000,4300000,4770000,5520000,5800000,5940000,6210000,6460000,6790000
Seychelles,0,0,0,0,0,0,506,1010,2000,4980,5990,9080,12000,12500,21200,22500,31300,34600,36600,36700,37400,39700,43600,47100,48300,51500,54100,56700,57100,57400
Sierra Leone,0,0,0,0,0,0,108,216,649,2160,5420,7620,8750,9890,11000,12200,13300,14400,15300,16300,37200,59100,168000,275000,425000,455000,863000,674000,689000,703000
Singapore,0,5010,15100,25200,40500,101000,304000,505000,756000,955000,1450000,1700000,1930000,2220000,2590000,2600000,2600000,3200000,3300000,3430000,3640000,3740000,3870000,4410000,4370000,4420000,4770000,4820000,5080000,5160000
Slovak Republic,0,0,0,6840,17100,28100,42200,63300,145000,294000,509000,677000,2170000,2320000,2860000,2980000,3030000,3340000,3570000,3780000,4090000,4030000,4150000,4220000,4340000,4220000,4380000,4450000,4400000,4520000
Slovenia,0,0,0,8200,21400,57700,101000,151000,201000,251000,300000,600000,553000,633000,812000,934000,1080000,1140000,1170000,1300000,1430000,1380000,1410000,1500000,1480000,1510000,1570000,1640000,1660000,1730000
Solomon Islands,0,0,0,0,0,89,993,1490,1990,1990,1990,1990,2190,2480,2980,3970,7920,9840,15100,20600,26400,32500,38900,45700,52800,60300,68100,75800,77800,79900
Somalia,0,0,0,0,0,0,116,234,590,1190,1770,7260,11000,36900,107000,113000,118000,124000,130000,136000,140000,155000,175000,196000,219000,243000,267000,292000,301000,309000
South Africa,0,5010,15000,45100,100000,280000,356000,702000,1270000,1830000,2410000,2890000,3100000,3270000,3980000,3590000,3690000,3960000,4200000,5050000,12300000,17700000,21700000,25000000,26700000,28800000,30400000,32000000,32500000,32900000
South Korea,9990,20000,43100,111000,140000,371000,743000,1660000,3160000,11100000,21200000,27000000,28500000,31600000,35300000,35800000,38200000,38600000,39800000,40300000,41500000,41700000,42100000,42700000,44300000,45700000,47300000,48600000,49100000,49300000
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,397000,477000,589000,724000,870000,876000,882000
Spain,5050,10100,30300,50500,111000,152000,532000,1120000,1750000,2870000,5560000,7500000,8550000,17000000,19100000,21100000,22500000,25000000,27500000,29100000,30900000,31600000,32900000,33600000,35600000,36700000,37600000,39500000,40200000,42400000
Sri Lanka,0,0,0,0,500,1000,10000,30000,55000,65000,122000,150000,200000,280000,280000,350000,500000,770000,1160000,1770000,2430000,3060000,3750000,4530000,5360000,2530000,3450000,7210000,7240000,7270000
St. Kitts and Nevis,0,0,0,0,0,0,826,968,1450,1920,2590,3440,9550,10500,11500,15900,18200,20800,23700,27100,30900,31200,31900,32500,34500,38800,39700,42000,42300,42600
St. Lucia,0,0,0,0,0,449,998,1500,2000,3000,7980,12900,23300,33700,34600,35200,40500,46800,51000,53400,56600,59700,61500,63900,70800,76200,84100,92000,92400,92900
St. Vincent and the Grenadines,0,0,0,0,0,139,522,1000,2000,3000,3500,5500,6000,7000,8000,9990,13000,17400,22800,33600,36500,39800,43400,47300,51600,18700,22600,24200,24700,24800
Sudan,0,0,0,0,0,0,0,313,1250,2340,7030,39200,126000,159000,239000,400000,409000,2800000,2860000,2930000,5770000,6170000,7600000,8420000,9360000,10400000,5620000,12600000,12900000,13200000
Suriname,0,0,0,0,0,507,1010,4560,7680,8800,11800,14600,20100,23000,30000,32000,48000,72100,109000,164000,167000,171000,188000,205000,222000,239000,256000,279000,282000,285000
Sweden,50100,100000,130000,150000,300000,450000,801000,2100000,2970000,3680000,4060000,4610000,6300000,7080000,7540000,7670000,7980000,7510000,8310000,8470000,8450000,8780000,8890000,9120000,8970000,8850000,8820000,9460000,9190000,9480000
Switzerland,39600,79300,119000,149000,189000,248000,320000,1070000,1760000,2420000,3360000,3960000,4430000,4730000,4970000,5180000,5650000,5820000,6040000,6270000,6550000,6740000,6820000,7000000,7170000,7260000,7470000,7580000,7650000,8000000
Syria,0,0,0,0,0,0,0,4950,9940,19900,29800,59300,358000,592000,770000,1040000,1490000,2290000,2890000,3670000,4420000,4740000,4970000,5130000,5260000,5400000,5570000,5860000,5800000,5850000
Tajikistan,0,0,0,0,0,0,,,,2010,3020,3240,3570,4230,5160,20300,261000,508000,633000,742000,869000,1000000,1140000,1290000,1440000,1600000,1770000,1950000,2000000,2050000
Tanzania,0,0,0,0,0,0,494,2460,2950,24600,39300,58900,78600,246000,328000,423000,514000,651000,795000,1030000,1290000,1460000,1860000,2130000,3500000,10300000,6900000,13700000,14100000,14500000
Thailand,0,30,199,7920,22700,44500,69400,219000,672000,1510000,2320000,3530000,4830000,6000000,6940000,9830000,11300000,13300000,12100000,13400000,15100000,16000000,17900000,19700000,23900000,27000000,32800000,36600000,39400000,46400000
Timor-Leste,0,0,0,0,0,0,,,,,,,0,0,0,985,5080,10400,15800,21500,32800,44500,79300,127000,206000,275000,308000,342000,349000,356000
Togo,0,0,0,0,0,0,475,9470,14200,28200,39400,45600,52000,64000,82000,101000,115000,130000,146000,163000,193000,231000,271000,313000,407000,521000,849000,952000,975000,999000
Tonga,0,0,0,0,0,118,158,494,742,992,2390,2780,2880,2970,3960,4950,5950,7370,8390,10400,16600,25900,30800,33300,36300,39000,40400,42100,42600,43100
Trinidad and Tobago,0,0,0,0,0,1980,4940,14800,34400,73500,97800,196000,281000,333000,349000,376000,391000,423000,457000,585000,644000,738000,800000,864000,887000,948000,1010000,1070000,1070000,1080000
Tunisia,0,0,0,0,662,1020,2560,4100,10300,154000,267000,421000,519000,646000,855000,976000,1320000,1760000,2870000,3590000,3910000,4200000,4500000,4800000,5110000,5200000,5610000,7340000,7420000,7800000
Turkey,0,0,0,4790,28700,47800,115000,286000,429000,1430000,2380000,3330000,7410000,8150000,9770000,10500000,12500000,19900000,24200000,26000000,28800000,31600000,33700000,35100000,39400000,42200000,46600000,52500000,58500000,61700000
Turkmenistan,0,0,0,0,0,0,,,,2010,6020,8000,13900,19800,35500,47400,63500,68500,86400,97700,153000,259000,379000,515000,667000,835000,1020000,1220000,1240000,1260000
Tuvalu,0,0,0,0,0,0,,,,,492,497,503,510,517,524,,1020,1550,2080,2630,3190,3760,4010,4300,4740,5170,5610,5670,5750
Uganda,0,0,0,0,0,585,973,2240,14600,24200,38700,58000,96700,121000,193000,482000,723000,1080000,2400000,3070000,4050000,4360000,4870000,5530000,6240000,6820000,8670000,9760000,10100000,10500000
Ukraine,0,0,0,399,6980,21900,49900,99800,150000,200000,350000,600000,899000,1500000,1650000,1760000,2100000,3040000,5080000,8230000,10700000,13100000,16000000,18500000,20900000,22000000,23700000,26200000,26100000,25900000
United Arab Emirates,0,0,0,0,0,2490,9530,88000,194000,443000,740000,868000,985000,1090000,1230000,1840000,2760000,3760000,4470000,5070000,5810000,6980000,7770000,8090000,8330000,8380000,8480000,9000000,9480000,9690000
United Kingdom,49900,99800,150000,299000,599000,1100000,2400000,4310000,8000000,12500000,15800000,19800000,33500000,38600000,39300000,42200000,41900000,46100000,48700000,52500000,53900000,54700000,56400000,58400000,59900000,60600000,62800000,63100000,63700000,62500000
United States,1980000,2960000,4430000,5900000,12800000,24500000,44100000,58700000,82800000,99900000,121000000,140000000,169000000,179000000,189000000,201000000,205000000,225000000,225000000,217000000,222000000,217000000,235000000,226000000,233000000,239000000,276000000,284000000,285000000,287000000
Uruguay,0,0,0,0,2000,10000,60000,110000,230000,330000,350000,370000,380000,530000,567000,667000,978000,1130000,1310000,1400000,1560000,1730000,1840000,1960000,2090000,2200000,2270000,2350000,2360000,2660000
Uzbekistan,0,0,0,0,0,348,995,2490,4990,7490,120000,150000,275000,492000,676000,884000,1710000,2040000,2510000,3340000,4530000,5390000,6950000,8020000,10800000,13200000,14700000,16700000,17000000,17300000
Vanuatu,0,0,0,0,0,0,98,244,488,976,3900,5360,6810,7770,9690,10600,12500,14900,16300,17300,18900,22300,26400,29000,49600,60600,66800,73400,75300,77100
Venezuela,0,0,2480,8740,11900,26800,55600,89300,322000,674000,813000,1140000,1230000,1920000,2180000,3320000,4090000,5680000,7150000,9170000,10600000,11600000,14400000,16300000,17100000,19300000,17900000,21200000,20800000,20500000
Vietnam,0,0,0,0,0,0,103,3070,10200,102000,203000,1020000,1510000,3110000,6350000,10700000,14600000,17700000,20600000,23100000,27000000,31200000,33000000,34900000,37600000,41700000,49600000,55000000,67200000,66300000
Yemen,0,0,0,0,0,0,96,2400,3840,9580,14400,16300,95700,115000,172000,211000,258000,1070000,1510000,2240000,2860000,3550000,4270000,5030000,5820000,6380000,6680000,7440000,7610000,7790000
Zambia,0,0,0,0,601,799,847,895,2980,14900,19900,24900,52400,110000,233000,338000,506000,609000,713000,834000,1360000,1610000,1950000,2300000,2930000,3330000,4170000,4690000,2480000,2550000
Zimbabwe,0,0,0,0,196,877,1940,3860,9590,19100,47700,95400,131000,216000,252000,290000,292000,368000,433000,501000,813000,1080000,1570000,2070000,2220000,3140000,3240000,3850000,3910000,3960000
